pO2_mmHg,pO2_kPa,S_o2
0.32,0.0427,0.0016
0.81,0.1080,0.0040
1.32,0.1760,0.0064
1.82,0.2427,0.0088
2.24,0.2987,0.0112
2.68,0.3573,0.0136
3.09,0.4120,0.0161
3.49,0.4653,0.0185
3.84,0.5120,0.0209
4.22,0.5627,0.0233
4.87,0.6493,0.0281
5.52,0.7360,0.0329
6.11,0.8147,0.0376
7.11,0.9480,0.0472
8.00,1.0666,0.0566
8.77,1.1693,0.0660
9.21,1.2280,0.0701
11.20,1.4932,0.0958
12.61,1.6812,0.1217
14.02,1.8692,0.1476
15.26,2.0345,0.1736
16.59,2.2119,0.1996
17.75,2.3665,0.2256
18.83,2.5105,0.2517
19.83,2.6438,0.2779
20.91,2.7878,0.3041
22.07,2.9425,0.3302
23.15,3.0865,0.3565
24.14,3.2185,0.3828
25.39,3.3851,0.4090
26.39,3.5185,0.4354
27.38,3.6505,0.4618
28.63,3.8172,0.4882
29.87,3.9825,0.5146
31.12,4.1492,0.5410
32.53,4.3372,0.5675
33.85,4.5132,0.5940
35.10,4.6798,0.6206
36.10,4.8132,0.6471
38.17,5.0892,0.6737
39.91,5.3212,0.7002
41.74,5.5652,0.7268
43.81,5.8412,0.7534
46.30,6.1732,0.7800
49.79,6.6385,0.8064
53.44,7.1251,0.8329
57.42,7.6558,0.8593
62.82,8.3754,0.8855
69.71,9.2941,0.9116
80.16,10.6874,0.9770
100.91,13.4536,0.9609
140.48,18.7292,0.9758
163.35,21.7787,0.9815
194.66,25.9525,0.9860
233.99,31.1969,0.9895
277.34,36.9756,0.9924
328.72,43.8260,0.9944
381.30,50.8357,0.9962
436.29,58.1673,0.9978
492.88,65.7128,0.9921
524.59,69.9398,0.9995
555.89,74.1133,0.9998
589.21,78.5561,0.9999
622.12,82.9437,1.0000
